question,answer
 سائلة تقول: أمتلك مالًا يكفي للحج ولكن صحتي لا تمكنني من أدائه بنفسي، فهل لي أن أوكِّل مَن يحج عني؟ ,حكم الوكالة في الحج عند عدم القدرة الصحية على أدائه
 أخذتُ ابني الصبي معي في الحج، فهل يصح حجُّه؟ وهل يُغنِي عن حج الفريضة؟ ,حكم حج الصبي، ومدى سقوط الفريضة عنه
 ما حكم استخدام الصابون المعطَّر أثناء الإحرام؟ ,حكم استخدام الصابون المعطر أثناء الإحرام
 مامعنى الإفراد والقِران والتمتع في الحج؟ وما أفضلها؟ ,معنى الإفراد والقران والتمتع في الحج
 هل يصح الحج لمن يعمل بعقد عملٍ في السعودية في موسم الحج؟ ,حكم الحج لمن يسافر إلى السعودية بعقد عمل
 سوف أقوم بأداء فريضة الحج هذا العام إن شاء الله تعالى، فهل أكتفي بالذبح هناك أم على أهل بيتي الموجودين هنا أن يذبحوا أيضًا؟ ,هل على الحاج أضحية غير التي يذبحها في الحج؟
 هل يجوز شرعًا زرع خصية مأخوذة من شخص لآخر قريب له من الدرجة الأولى؟ ,حكم زرع خصية من شخص في آخر
 قال السائل: ماشية وقعت في بئر هل يشترط لحلِّها ذبحها، أو تحلُّ بضربها بفأس ونحوها في أي مكان؟ وهل يشترط أن يعلم موتها من الضربة التي جرحتها؟ ,ذكاة الماشية إذا وقعت في بئر
 ما حكم تقسيم التوحيد وتكفير المسلمين؟ فهناك شاب في إحدى القرى يقوم بتكفير كل أهل القرية بحجة أنهم يتوسلون بالنبي صلى الله عليه وآله وسلم في الدعاء إلى الله تعالى ويتبركون بزيارة مقام سيدنا الحسين عليه السلام، ويدَّعي أن كل مَن يفعل ذلك يكون مِن المشركين الذين كانوا يؤمنون بتوحيد الربوبية ولا يؤمنون بتوحيد الألوهية. فهل هناك أنواع للتوحيد؟ وهل كان المشركون مُقِرِّين بتوحيد الربوبية؟ وهل التوسل بالنبي صلى الله عليه وآله وسلم والتبرك بزيارة مقامات الأولياء يُعَدُّ شركًا كما يقول؟ ,حكم تقسيم التوحيد وتكفير المسلمين
 ما هو مدلول الجهاد في الإسلام؟ وهل يقتصر على الحرب والقتال أم أن له معاني أخرى؟ ,مدلول الجهاد في الإسلام
 متى يصبح الطلاق الرجعي بائنًا؟ ,متى يصبح الطلاق الرجعي بائنا؟
 أنا ليبي أعيش في بلدي مع أسرتي، فهل يجوز لي منع إبني البالغ من السنِّ ثمانية عشر عامًا من الذهاب للجهاد في سبيل الله سواء أكان في العراق أو الشيشان أو أفغانستان أو فلسطين المحتلة؟ وهل الجهاد في الوقت الحالي فرض عين؟ وهل موقفي في منع ابني من ذلك موقف شرعي أم أنه خروج عن طاعة الله عز وجل ومنع له من إقامة الفرائض الشرعية كما يقول؟ ,منع الأب ابنه من السفر للجهاد
 ما حكم الزكاة في الماشية التي تملكها الدولة؟ فالسائل يعمل في محطة البحوث الزراعية التابعة لكلية الزراعة، ويوجد بجهة عمله مزارع للأقسام العلمية وكذلك وحدات إنتاجية، ويتبع ذلك وجود قطعان من الماشية والأغنام ومحاصيل زراعية تنتج على مدار العام. ويسأل هل تستحق زكاة على هذه الماشية والأغنام ومنتجاتها وكذلك المحاصيل الزراعية؟ ,حكم الزكاة في الماشية التي تملكها الدولة
 ما حكم الشرع في إجراء عملية ربط المبايض لزوجتي؟ علمًا بأنها ممنوعة من أخذ أي موانع للحمل بسبب مرض السكر وبسبب ورم بالرحم، وقرر الدكتور المعالج ضرورة إجراء عملية ربط المبيض، وهناك خطر من الحمل. ,حكم عملية ربط المبايض للزوجة
 ما حكم الانتفاع بالمرهون؛ فقد رهن رجلٌ جزءًا من منزله لآخر على مبلغ معين، واشترط المُرتهِن أخذ الجزء المرهون تحت يده إلى أن يُوفِّيه الراهن بالدين، ولم يُعَيِّن الراهن والمُرتَهِن مدة معينة لسداد الدين، فهل يجوز للمُرتهن أخذ ريع الجزء المرهون شرعًا أم لا؟ ,حكم الانتفاع بالمرهون
 ما حكم استخدام الإنسان كأداة لإجراء التجارب على بعض العقاقير التي يروجها غير المتخصصين؟ فقد انتشرت مؤخرًا لدينا ظاهرة استخدام البشر كأدوات للتجارب لبعض العقاقير التي يعلن مروِّجوها أنها ذات خصائص تعالج الأمراض الخبيثة مثل السرطان والإيدز في جوٍّ من السرية والكتمان ودون أي إشراف من أي جهة مع ملاحظة:1- لا يعلم أحد مصدر أو تركيبات أو مكونات هذه العقاقير فيما عدا أنها أعشاب.2- لا يعلن مستخدموها عن نتائجها علميًّا، وليسوا من أهل الاختصاص في الطب أو الصيدلة.فما رأي الشرع فيمن يقومون بإجراء التجارب في البشر كعينات تجارب؟ وكذا فيمن تُجْرى فيهم هذه التجارب كعينات تجارب؟ ,حكم استخدام الإنسان كأداة لإجراء التجارب على بعض العقاقير التي يروجها غير المتخصصين
 هل توجد دولة بعد الخلافة العثمانية تعدُّ دولة إسلامية، وما حكم طاعة الحكام في هذه الحالة؟ ,الخلافة والدولة الإسلامية
 ما الحكم فيما لو أحرمتُ من المدينة متمتعًا، ثم جاءني المرض فخلعتُ ملابس الإحرام قبل أداء العمرة؟ ,حكم خلع لباس الإحرام للمتمتع قبل أداء العمرة
 نَشَأَت فِتنةٌ في أحد المساجد بإحدى القرى بين المُصَلِّين حول فترةِ الانتظارِ بين الأذان والإقامة في صلاةِ الفجرِ؛ حيث كان أهلُ المسجد معتادين على إقامة الصلاة بعد ربع ساعةٍ مِن الأذان مع إذاعة القرآن الكريم، فأتى فريقٌ مِن المُصَلِّين وزَعَمَ أنَّ الصلاةَ باطِلَةٌ، وأنه لا بُدَّ مِن الِانتظار نِصفَ ساعةٍ على الأقل حتى يَدخُلَ وقتُ الفجرِ الصادق، حتى وصل الأمر إلى إقامة جماعتين مُنفَصِلَتَيْن، فاتَّفَقَ أهلُ المسجد على الاحتكام إلى دار الإفتاء المصرية.فنرجو الإفادة بكيفية دَرْءِ هذه الفِتنةِ، وأيُّ الرأيين هو الأصحُّ، عِلمًا بأنَّ أغلبَ المُصَلِّين يَمكُثُون في المسجد إلى وقت الشروق. ,وقت صلاة الفجر
 ما حكم فرض العلاج على المريض إذا رفض استكمال العلاج؟ فقد كانت والدتي تعاني من مرض معين -سرطان- وقد قمنا بإجراء جراحة لها على نفقتنا الخاصة، وقد قرَّرَ الأطباء بعد الفحص أنه لا بد من أن تأخذ جرعات كيماوية لإيقاف أو منَعِ المرض من الانتشار، وبالفعل أخذت أُمِّي ست جرعات، ولكنها رفضت تَكْمِلَةَ العلاج بل ودخول المستشفيات، وإذا ذكَّرْنَاها بذلك بكَت؛ مما يؤثر على نفسيتها، وعندما علمت أنها حُرَّة في أن تستكمل أو لا تستكمل العلاج تحسَّنت نفسيتها وخرجت، والآن تعيش حياة سعيدة إلى حد ما، وتذهب إلى المسجد للصلاة وإلى غير ذلك، فهل على أولادها من إثم، أو عليهم تقصير؟ ,حكم فرض العلاج على المريض إذا رفض استكمال العلاج
 ما حكم عمل المرأة في مجال الاستشارات المجتمعية؟ وما حكم عملها في الأعمال المتعلقة بمجالات الشأن العام للدولة ومنها المجال السياسي؟ وما حكم عمل المرأة كعضوة في المجالس الشورية أو النيابية؟ وماذا تقولون لمن يعارض دخول المرأة المجالس الشورية أو النيابية ومحاولة تهميشها وعزلها عن دورها الحقيقي في بناء المجتمع؟ ,حكم مشاركة المرأة في العمل السياسي والاجتماعي
 ما حكم الشبكة عند الخلع؟ فإن ابني خَالَعَتْهُ زوجتُه التي عقد عليها ولم يدخل بها، وكان قد قدَّم لها مبلغ عشرة آلاف جنيه، وشبكةً قيمتها 21600 جنيه، فهل ترد له الشبكة؟ وهل هي جزء من المهر؟ ,حكم الشبكة عند الخلع
 في أثناء عمل أبي في عمل خاص أعطاه أصحاب العمل سيارة للعمل بها، وبعد وفاته قمت بالعمل مكانه، فأصر أصحاب العمل على إعطائي السيارة وتسجيلها رسميًّا على سبيل الهدية، علما بأن لي أربعة إخوة من أُمٍّ أُخرى، وأصحاب العمل يعرفون ذلك. فهل لهم حق في السيارة؟ ,حكم الهدية بسبب الوالد ودخولها في الميراث
 ما حكم الشبكة عند الخلع؟ ,حكم رد الشبكة عند الخلع
 ما حكم مؤخر الصداق عند وفاة الزوج؟ ,استحقاق مؤخر الصداق عند وفاة الزوج
 ما حكم الوصية للزوجة؟ فقد أوصى لي زوجي قبل وفاته بشقة ومحل في عقاره الذي بناه، وهو خمسة أدوار، وأودع الوصية في الشهر العقاري. فهل من حقي أن آخذ هذه الوصية؟ وهل لي حق في ميراثه؟ ,حكم الوصية للزوجة
 ما حكم زواج زوجة المفقود الذي لا يعلم موته ولا حياته؟ حيث قد سئل بإفادة من نظارة الحقانية، مضمونها أنه مرسل ضمن السبع ورقات طيه صورة من الحكم الصادر من محكمة الإسكندرية الشرعية بالتفريق بين امرأةٍ وزوجها؛ بناءً على عدم التحقق من وفاة زوجها الأول، الواردة هذه الصورة بمكاتبة المحكمة المذكورة بقصد نظرها بالنسبة لتضرر الزوجة المذكورة من ذلك؛ لثبوت وفاة زوجها الأول المذكور في واقعة هكس باشا بالسودان. ويفاد بما يقتضيه الحكم الشرعي. ,حكم زواج زوجة المفقود الذي لا يعلم موته ولا حياته
 ما حكم إطعام الحيوانات من لحم الخنزير؟ فالرجل أسس حديقة حيوان مفتوحة، احتوت على كل أنواع الحيوانات المفترسة وغير المفترسة. فهل يجوز إطعام الحيوانات المفترسة من لحم الخنزير أم لا؟ ,حكم إطعام الحيوانات من لحم الخنزير
 ما الحكم الشرعي في نقل الأعضاء؟ ,الحكم الشرعي في نقل الأعضاء
 ما مدى مشروعية التداوي بالحجامة؟ فنظرًا للَّغطِ الشديد الذي نحن فيه فيما يتعلق بالتداوي بالحجامة، ونظرًا لأن هذا النوع من التداوي شاع في الفترة الأخيرة في العالم الغربي والشرقي على السواء، مما يجعلنا نفخر بأن نبينا وحبيبنا وطبيبنا محمدًا صلى الله عليه وآله وسلم قد أوصى بهذا النوع من التداوي من 1400 سنة، والذي ينظر إليه العالم الآن ليس فقط بواقع طبي ولكن أيضًا نظرة مستقبلية.وعليه: فإننا نود أن تفيدنا سيادتكم بالرؤية الإسلامية في موضوع الحجامة.أولًا: مشروعية التداوي بها، وهل هو تداوٍ أفناه الدهر رغم استخدام الأوروبيين والأمريكان له، أم ما زال قائمًا؟ثانيًا: هل يفضل أن يجريه العامة أم الأطباء بما لهم من مقدرة على التشخيص وإصابة الداء بالدواء المناسب ومراعاة ظروف التعقيم المناسبة؟ثالثًا: إذا كان العالم الغربي اهتم بهذا النوع من التداوي وأصبح له مدارسه، وإذا كانت السُّنَّة واضحة فيه، فما هو حكم قيام السلطة في دولة إسلامية باستهجان هذا الأسلوب العلاجي الراقي الذي أوصى به نبينا محمد صلى الله عليه وآله وسلم وله قوانينه الحديثة المنظمة لهذا النوع من العلاج؟ ,مشروعية التداوي بالحجامة
 ما حكم تركيب أطراف صناعية؟ حيث تذكر السائلة أن الله تعالى رزق ابنها الوحيد بطفلة جميلة إلا أنها وُلدت ببتر خِلْقي بالذراع اليسرى -نصف ذراع من دون كف- وأن الطبيب أفادها بأنه يمكن تركيب أطراف صناعية للطفلة عند بلوغها أربع سنوات، والسؤال: هل في مثل هذه الحالة يجوز تركيب الأطراف الصناعية أم يكون ذلك اعتراضًا على حكم الله تعالى؟ ,حكم تركيب أطراف صناعية
 ما حكم الدين في استعمال مادة المورفين في تخفيف آلام المرضى كمُسكِّن؟ وذلك تحت إشراف الأطباء بالجرعات المناسبة؛ وذلك لحاجة المرضى الشديدة إلى ذلك، سواء أكان ذلك عن طريق الحقن أم الفم. ,حكم استعمال مادة المورفين لتخفيف آلام المريض
 ما الحكم الشرعي للتطعيم ضد شلل الأطفال، وحكم من يرفض التطعيم لأولاده، بدعوى أن المرض من إرادة الله ولا يحتاج إلى علاج، والشفاء من عند الله؟ ,حكم رفض التطعيم ضد مرض شلل الأطفال
 اشتريتُ أُضحيةً واكتشفت أن بها عيبًا فقمتُ ببيعها وصرفتُ الثمن دون أن أُخرج منه صدقة. فما رأي الدين؟ ,حكم بيع الأضحية والتصرف في ثمنها
 هل يُحسب مال الإيفاء بالنذر من جملة زكاة المال؟ حيث قام السائل بإيداع مبلغ خمسمائة ألف جنيه في أحد البنوك للإيفاء بنذور قد قطعها على نفسه إن فرَّج الله كربه، وهي ذبح ذبيحة بمبلغ خمسة آلاف جنيه وتوزيعها على الفقراء والمساكين، ونذر إخراج مبلغ ستمائة جنيه، كما قام ببناء قبرين صدقةً: أحدهما للرجال، والثاني للنساء من فقراء المسلمين بمبلغ عشرين ألف جنيه، كما نذر أداء عمرة له ولبناته الثلاث بمبلغ ثلاثين ألف جنيه، كما ساهم في بناء مسجد بمبلغ ثمانية آلاف جنيه، كما أخرج مبلغ سبعة آلاف جنيه لمرضى السرطان، وألفَي جنيه لدار أيتام، وثلاثة آلاف جنيه للفقراء والمساكين. ويطلب السائل بيان الحكم الشرعي في هذه المبالغ: هل تدخل ضمن زكاة المال؟ وهل تحسب فيما عليه من زكاة لأكثر من حَوْل؟ وما هي قيمة الزكاة المفروضة على هذا المبلغ المودع بالبنك وهو خمسمائة ألف جنيه؟ ,هل يُحسب مال الإيفاء بالنذر من جملة زكاة المال؟
 ما حكم زواج زوجة المفقود الذي لا يعلم موته ولا حياته؟ حيث قد سئل بإفادة من نظارة الحقانية، مضمونها أنه مرسل ضمن السبع ورقات طيه صورة من الحكم الصادر من محكمة الإسكندرية الشرعية بالتفريق بين امرأةٍ وزوجها؛ بناءً على عدم التحقق من وفاة زوجها الأول، الواردة هذه الصورة بمكاتبة المحكمة المذكورة بقصد نظرها بالنسبة لتضرر الزوجة المذكورة من ذلك؛ لثبوت وفاة زوجها الأول المذكور في واقعة هكس باشا بالسودان. ويفاد بما يقتضيه الحكم الشرعي. ,حكم زواج زوجة المفقود الذي لا يعلم موته ولا حياته
 ما حكم إطعام الحيوانات من لحم الخنزير؟ فالرجل أسس حديقة حيوان مفتوحة، احتوت على كل أنواع الحيوانات المفترسة وغير المفترسة. فهل يجوز إطعام الحيوانات المفترسة من لحم الخنزير أم لا؟ ,حكم إطعام الحيوانات من لحم الخنزير
 ما الحكم الشرعي في نقل الأعضاء؟ ,الحكم الشرعي في نقل الأعضاء
 ما مدى مشروعية التداوي بالحجامة؟ فنظرًا للَّغطِ الشديد الذي نحن فيه فيما يتعلق بالتداوي بالحجامة، ونظرًا لأن هذا النوع من التداوي شاع في الفترة الأخيرة في العالم الغربي والشرقي على السواء، مما يجعلنا نفخر بأن نبينا وحبيبنا وطبيبنا محمدًا صلى الله عليه وآله وسلم قد أوصى بهذا النوع من التداوي من 1400 سنة، والذي ينظر إليه العالم الآن ليس فقط بواقع طبي ولكن أيضًا نظرة مستقبلية.وعليه: فإننا نود أن تفيدنا سيادتكم بالرؤية الإسلامية في موضوع الحجامة.أولًا: مشروعية التداوي بها، وهل هو تداوٍ أفناه الدهر رغم استخدام الأوروبيين والأمريكان له، أم ما زال قائمًا؟ثانيًا: هل يفضل أن يجريه العامة أم الأطباء بما لهم من مقدرة على التشخيص وإصابة الداء بالدواء المناسب ومراعاة ظروف التعقيم المناسبة؟ثالثًا: إذا كان العالم الغربي اهتم بهذا النوع من التداوي وأصبح له مدارسه، وإذا كانت السُّنَّة واضحة فيه، فما هو حكم قيام السلطة في دولة إسلامية باستهجان هذا الأسلوب العلاجي الراقي الذي أوصى به نبينا محمد صلى الله عليه وآله وسلم وله قوانينه الحديثة المنظمة لهذا النوع من العلاج؟ ,مشروعية التداوي بالحجامة
 ما حكم تركيب أطراف صناعية؟ حيث تذكر السائلة أن الله تعالى رزق ابنها الوحيد بطفلة جميلة إلا أنها وُلدت ببتر خِلْقي بالذراع اليسرى -نصف ذراع من دون كف- وأن الطبيب أفادها بأنه يمكن تركيب أطراف صناعية للطفلة عند بلوغها أربع سنوات، والسؤال: هل في مثل هذه الحالة يجوز تركيب الأطراف الصناعية أم يكون ذلك اعتراضًا على حكم الله تعالى؟ ,حكم تركيب أطراف صناعية
 ما حكم الدين في استعمال مادة المورفين في تخفيف آلام المرضى كمُسكِّن؟ وذلك تحت إشراف الأطباء بالجرعات المناسبة؛ وذلك لحاجة المرضى الشديدة إلى ذلك، سواء أكان ذلك عن طريق الحقن أم الفم. ,حكم استعمال مادة المورفين لتخفيف آلام المريض
 ما الحكم الشرعي للتطعيم ضد شلل الأطفال، وحكم من يرفض التطعيم لأولاده، بدعوى أن المرض من إرادة الله ولا يحتاج إلى علاج، والشفاء من عند الله؟ ,حكم رفض التطعيم ضد مرض شلل الأطفال
 اشتريتُ أُضحيةً واكتشفت أن بها عيبًا فقمتُ ببيعها وصرفتُ الثمن دون أن أُخرج منه صدقة. فما رأي الدين؟ ,حكم بيع الأضحية والتصرف في ثمنها
 هل يُحسب مال الإيفاء بالنذر من جملة زكاة المال؟ حيث قام السائل بإيداع مبلغ خمسمائة ألف جنيه في أحد البنوك للإيفاء بنذور قد قطعها على نفسه إن فرَّج الله كربه، وهي ذبح ذبيحة بمبلغ خمسة آلاف جنيه وتوزيعها على الفقراء والمساكين، ونذر إخراج مبلغ ستمائة جنيه، كما قام ببناء قبرين صدقةً: أحدهما للرجال، والثاني للنساء من فقراء المسلمين بمبلغ عشرين ألف جنيه، كما نذر أداء عمرة له ولبناته الثلاث بمبلغ ثلاثين ألف جنيه، كما ساهم في بناء مسجد بمبلغ ثمانية آلاف جنيه، كما أخرج مبلغ سبعة آلاف جنيه لمرضى السرطان، وألفَي جنيه لدار أيتام، وثلاثة آلاف جنيه للفقراء والمساكين. ويطلب السائل بيان الحكم الشرعي في هذه المبالغ: هل تدخل ضمن زكاة المال؟ وهل تحسب فيما عليه من زكاة لأكثر من حَوْل؟ وما هي قيمة الزكاة المفروضة على هذا المبلغ المودع بالبنك وهو خمسمائة ألف جنيه؟ ,هل يُحسب مال الإيفاء بالنذر من جملة زكاة المال؟
 ما حكم التدخل طبيًّا لتحديد نوع الجنين؟ ,حكم التدخل طبيا لتحديد نوع الجنين
 هل يجوز للرجل أن يغسل أمه حتى مع وصيتها بأنها إذا ماتت لا يغسلها ذلك الابن؟ ,حكم تغسيل الابن أمه مع وصيتها بأن لا يغسلها
 ما حكم تحمل المضحي لنفقات ذبح الأضحية ونقلها وتوزيعها؟ حيث يوجد جمعية خيرية تقبل من المتبرعين مساهمتهم في لحوم الأضاحي للتضحية بالغنم، أو التضحية بالبقر والإبل مشاركة أو انفرادًا، وذلك بقبول التبرعات النقدية منهم لشراء هذه الأضاحي ونقلها وذبحها وتوزيعها، فهل يتم تحميل المتبرع بنفقات الذبح والنقل وخلافه مما يتعلق بالأضاحي؟ ,حكم تحمل المضحي لنفقات ذبح الأضحية ونقلها وتوزيعها
 هل صحيح أن الأضحية من البقر والجاموس إذا كانت سِنُّها أكثر من سنةٍ وأقل من سنتين تُجزئ كأضحية؛ بشرط ألا يقل وزنها عن 300 كيلو جرام قائمًا. نرجو التفضل بالإفادة عن مدى صحة ذلك، وإذا كان صحيحًا فما هو العدد الذي تُجزئ عنه الأضحية بهذا الوضع؟ ,حكم الأضحية من البقر والجاموس إذا كان سنها أقل من سنتين، والعدد الذي تجزئ عنه الأضحية
 ما حكمالمنقولات الزوجيةفي حالة قيام الزوجية ووجود خلاف أدى إلى منع الزوجة من دخول المنزل أو التحصل على المنقولات؟ ,حكم المنقولات الزوجية عند وجود خلافات تمنع الزوجة من دخول المنزل
 في عام 1945م تم تحرير وثيقة توزيع ميراث جدي لأمي بين والدتي وبين زوجة جدي وأولادها -أربعة إخوة وأخت لأمي من الأب- مفادها أنها أخذت نصيبها من ميراث أبيها، ولا يحق لها المطالبة بأي شيء، ووقَّعَت أمي عليها، وكان من ضمن الأنصبة نصف فدان في قرية ونصف فدان أرض في قرية أخرى، وقد حصلت عليهما أمي، وبعد وفاتها في عام 1970م ظهرت أرض يملكها أبوها في قرية ثالثة، وكانت تحت حيازة وزارة الأوقاف، وقام بعض من أخوالي وحفيد لجدي برفع قضية ضد وزارة الأوقاف، ولم تتضمن الأوراق والمستندات وحصر المواريث ذكر اسم والدتي كأحد الورثة، وحكمت المحكمة أن الأرض تخص أباها ولصالح الورثة.وعليه أرجو من فضيلتكم الرأي طبقًا للشريعة الإسلامية: هل يحق لنا -نحن أولادها- المطالبةُ بنصيبنا في هذه الأرض التي حكمت بها المحكمة لصالح الورثة؟ علمًا بأن والدتي لم توقع على أنها أخذت حقها في هذه الأرض التي توجد في قرية ثالثة. ,الحق فما يظهر من التركة بعد التخارج من الميراث
 ما حكم الشرع فيمن يُسَمِّي ابنه «رسول الله»؟ ,حكم التسمي باسم رسول الله
 ما حكم استعمال واستيراد صمام للقلب من أنسجة الخنزير؟ حيث تقوم شركة باستيراد بعض الأصناف الخاصة بعلاج مرضى القلب المفتوح، وأحد الأصناف التي نستوردها هي صمام طبيعي نسيجي مأخوذ من الخنزير، علمًا بأن هذا الصنف يتم معالجته وتعقيمه وحفظه في درجة حرارة معينة ثم يُزرع في جسم المريض. فما حكم الشرع في استعمال واستيراد مثل هذا الصمام؟ ,حكم استعمال واستيراد صمام للقلب من أنسجة الخنزير
 ما هي كيفية توريث سطح البيت؟ فقد ملَّك والدي -رحمه الله- لكل ولد من أولاده ذكورًا وإناثًا شقة في بيته، بالإضافة إلى أنه ملك ورشة ومحلين بالطابق الأرضي لابنيه الاثنين، وأجَّر شقتين بالطابق الأخير لابني هذين الابنين.والسؤال: هل سطح البيت يخص جميع الورثة؟ أم أنه خاص بالابنين فقط؟ حيث إننا نريد أن نبني عليه لتسكين أمنا، وكيف يوزع إيجار الشقتين؟ ,كيفية توريث سطح البيت
 هلتجارةوتربية طيور الزينة حرامٌ شرعًا؟ ,حكم تربية طيور الزينة والتجارة فيها
 هل يجوز أن أهدي أخي الذي رُزق بمولود خروفًا لعمل عقيقة حيث إنني أيسر منه حالًا؟ ,حكم إهداء الأخ خروفا لعقيقة ابنه
 ما الرأي الشرعي في تأجير رحم امرأة ليكون بديلًا عن رحم زوجتي التي لا يمكنها الحمل مستقبلًا؟ على أن يوضع في هذا الرحم البديل الحيوانات المنوية الخاصة بي والبويضات الخاصة بزوجتي لا الخاصة بصاحبة الرحم البديل، وذلك تحت الضوابط الطبية ذات الشأن. ,حكم تأجير الأرحام
 ما حكم من نذر ولا يستطيع الوفاء بالنذر؟ حيث وقع السائل في مشكلة ونذر لله تعالى إن هو نجَّاه منها أن يصوم شهر رجب طول عمره، وظل يصوم هذا الشهر لمدة تسع سنين متصلة، والآن قد تقدمت به السن ويخشى ألَّا يستطيع الوفاء بنذره فيما بعد، فماذا يفعل؟ ,حكم من نذر ولا يستطيع الوفاء بالنذر
 ما حكم ذبح الدجاج آليا وذكر التسمية والتكبير مرة واحدة؟ فأنا صاحب مذبح آلي لذبح الدجاج، يتم الذبح آليًّا دون أيدٍ بشرية، وأريد معرفة حكم الشرع في طريقة هذاالذبح، علمًا بأن الذي يقوم بتشغيل الماكينة يقول: «بسم الله، الله أكبر»، مرة واحدة. ويطلب السائل بيان الحكم الشرعي. ,حكم ذبح الدجاج آليا وذكر التسمية والتكبير مرة واحدة
 هل يجوز ذبح الغزال واستخدام لحمه للاستهلاك الآدمي؟ ,حكم ذبح الغزال وأكل لحمه
 ما حكم التدخين؟ ,حكم التدخين
 ما حكم رد الدين بقيمة العملة؟ فقد أخذ شخصٌ مني مبلغ ألفي ريال سعودي على أساس أن يُوفِّر لي إقامة في السعودية، وبعد فترة طويلة لم يُوفِّر لي هذه الإقامة فطلبت منه استرجاع الألفَي ريال فسدد بعض المبالغ على دفعات كالتالي: خمسمائة ريال بحوالة من السعودية، وخمسمائة ريال مع أخيه، وخمسمائة جنيه مصري إليَّ؛ لأن الريال كان وقتها يساوي تسعين قرشًا وقال لي: هذا آخر شيء أدفعه لك لأنك دفعت مبلغ الألفي ريال سنة 1995م. فهل هذا جائز؟ ,حكم رد الدين بقيمة العملة
 ما حكم الشرع في التعامل ببطاقة الائتمان (الفيزا كارت)؟ ,"حكم التعامل ببطاقة الائتمان ""الفيزا كارت"""
 ما حكم التعامل بالقرض مع الفائدة؟ فنودُّ التفضل بالإحاطة بأن بعض المصريين العائدين من العمل بالخارج كوَّنوا فيما بينهم شركة استثمارية، وكانت باكورة أعمالها إنشاء مطحن للدقيق الفاخر، ولأن رأس مال الشركة المدفوع من الأعضاء لا يكفي ثمنًا للآلات التي تم استيرادها من الخارج فقد اتجهت المجموعة لفتح اعتماد بأحد البنوك يتولى البنك من خلاله سداد قيمة الآلات للشركة الموردة. ولعدم الرغبة في التعامل بالفوائد مع البنك فقد التزمت المجموعة بسداد مبلغ يوازي أتعاب البنك دفعةً واحدةً، ويضاف إلى مبلغ المديونية الأصلي ويتم سدادها للبنك في المواعيد المتفق عليها؛ ونظرًا لعدم كفاية رأس المال المدفوع من الأعضاء لسداد قيمة الجمارك وبعض الالتزامات ودورة رأس المال فقد تم الاقتراض ذاتيًّا من بعض الأعضاء وبفائدةٍ تحدد بمعرفتهم غير مرتبطة بالربح والخسارة، بل وغير مرتبطة بالفائدة السارية في البنوك.ونظرًا لظروف طارئة وخارجة عن الإرادة لم تتمكن المجموعة من سداد أقساط البنك في مواعيدها وأيضًا عدم سداد قروض الأعضاء، الأمر الذي أدَّى إلى تراكم هذه الفوائد. وتمَّ سداد قروض الأعضاء وتراكمت على المجموعة فوائد هذه القروض سنة بعد أخرى.والمجموعة تستطلع رأي سيادتكم في الآتي:أولًا: ما حكم التعامل بفوائد التأخير بالنسبة للمجموعة، التي أصبح لا سبيل سوى التعامل بها مع البنك رغم رفضنا السابق التعامل بها؟ثانيًا: ما حكم التعامل بفوائد الشركاء المقترضين سواء فوائد الدَّين الأصلي على النحو الذي سبق إيضاحه أو بالنسبة لفوائد الفوائد التي تراكمت سنين عددًا؟ ,قرض بفائدة
 ما حكم شراء سيارة عن طريق البنك؟ فأنا أعمل بوظيفة محاسب بإحدى الشركات بجمهورية مصر العربية، وقد قررتُ شراء سيارة جديدة من بنك، والمبلغ المدفوع كمقدم للسيارة يمثل حوالي ستين بالمائة من قيمة السيارة، وسوف يقوم البنك بسداد الباقي عن طريق شيك مصرفي إلى معرض السيارات الذي سوف أتعامل معه وسوف يصدر الشيك باسم المعرض المتعامل معه، وفي حالة تسلُّمي للسيارة وترخيصها سوف يكون مدونًا على رخصة السيارة عبارة حفظ الملكية لصالح البنك، وسوف أقوم بدفع فائدة المبلغ المدفوع عن طريق البنك تسعة بالمائة على المبلغ الذي تم تمويله سنويًّا، وإن شاء الله سوف يتم التقسيط على أربع سنوات. فهل هذا جائز؟ ,شراء سيارة عن طريق البنك
 ما حكم الشرع في الموظف الذي يمكث في بيته أثناء الدوام الرسمي ويتم التوقيع عنه في دفاتر الحضور والانصراف دون حضوره للعمل أو في حال حضوره بعد المواعيد الرسمية، وكذا المأموريات التي يأخذها الموظف ويظل في بيته، هل هذا جائز؟ ,حكم توقيع الحضور لموظف غائب أو متأخر وحكم عمل مأمورية
